YEAR,MONTH,DAY,HOUR,TEMP,WS,WD,HUM,AP,SLP,VISIBILITY,GTEMP,ELEC
2022,10,1,0,17,0.1,0,98,1012.4,1017.1,164,16.2,0
2022,10,1,1,15.8,0.9,290,100,1012.6,1017.3,135,15.5,0.84
2022,10,1,2,15.6,0.2,0,100,1012.7,1017.4,110,15.1,0.91
2022,10,1,3,15.4,0.7,110,100,1012.8,1017.6,174,14.9,0.25
2022,10,1,4,14.9,0.2,0,100,1013,1017.7,124,14.5,0.17
2022,10,1,5,14.1,0.3,0,100,1013.3,1018.1,6,15.6,0.18
2022,10,1,6,14.6,0.1,0,100,1013.6,1018.3,7,16.4,0.24
2022,10,1,7,15.1,1.1,140,100,1014.1,1018.9,6,16.8,0.27
2022,10,1,8,15.2,0.9,140,100,1014.7,1019.5,12,17.8,0.26
2022,10,1,9,16.7,0.9,180,100,1015.1,1019.8,151,21.2,0.21
2022,10,1,10,20.1,1.4,270,84,1015.6,1020.3,454,27,0.24
2022,10,1,11,22.2,1,200,72,1015,1019.6,454,30.9,0.2
2022,10,1,12,23.6,1.5,180,62,1014.4,1019,546,31.8,0.58
2022,10,1,13,23.8,1.4,160,59,1013.8,1018.4,404,30.6,0.63
2022,10,1,14,25.8,1.4,110,32,1012.9,1017.5,1183,31.9,0.67
2022,10,1,15,26,0.5,230,38,1012.8,1017.4,1170,29.5,0.99
2022,10,1,16,27,0.5,250,41,1012.6,1017.1,949,28.1,0.69
2022,10,1,17,25.2,1.4,270,48,1012.6,1017.2,558,26.3,0.58
2022,10,1,18,23.3,1.1,320,57,1013,1017.6,579,23.4,0.35
2022,10,1,19,21.9,0.1,0,69,1013.1,1017.7,811,21.5,0.41
2022,10,1,20,20.7,1.4,270,76,1013.9,1018.6,770,20.3,0.41
2022,10,1,21,19.1,0.2,0,79,1013.8,1018.5,520,19.1,0.37
2022,10,1,22,18.9,0.5,270,79,1013.6,1018.3,568,18.8,0.4
2022,10,1,23,18.4,0.8,290,79,1013.7,1018.4,668,18.1,0.58
2022,10,2,0,17.2,0.2,0,84,1013.5,1018.2,619,17,0.5
2022,10,2,1,16.6,0,0,90,1013.2,1017.9,517,16.2,0.88
2022,10,2,2,17.4,0.3,0,88,1013.3,1018,810,17.2,0.96
2022,10,2,3,18.9,1.4,110,81,1012.8,1017.5,745,17.3,0.46
2022,10,2,4,19.6,1.6,110,75,1012.8,1017.4,1990,17.8,0.69
2022,10,2,5,19.9,2.1,90,72,1013,1017.6,1170,17.9,0.52
2022,10,2,6,19.4,0.5,50,76,1014.3,1018.9,696,17.9,0.5
2022,10,2,7,18.8,0.6,70,82,1014.1,1018.8,911,18,0.32
2022,10,2,8,19.8,1.2,110,76,1013.7,1018.3,1333,18.5,0.29
2022,10,2,9,20,2.3,110,74,1013.8,1018.5,1305,19.2,0.21
2022,10,2,10,21.5,4.2,110,65,1013.5,1018.1,1817,22.6,0.63
2022,10,2,11,22.2,3.6,110,61,1013.7,1018.3,1959,23.7,0.22
2022,10,2,12,23,3.8,110,57,1013.1,1017.7,1946,25.9,0.8
2022,10,2,13,23.1,2.9,90,56,1012.6,1017.2,1916,24.6,0.97
2022,10,2,14,22.5,4.3,110,59,1011.5,1016.1,2056,23.8,0.76
2022,10,2,15,22.6,3,90,58,1010.6,1015.2,2013,23.4,0.67
2022,10,2,16,22.4,4.2,110,59,1009.6,1014.2,1995,23.2,0.9
2022,10,2,17,22,1.1,50,64,1010.4,1015,1799,21.7,0.33
2022,10,2,18,18.5,1.3,50,92,1010.9,1015.6,465,19.5,0.42
2022,10,2,19,18.7,1.9,110,89,1010.3,1014.9,1620,18.7,0.37
2022,10,2,20,18.7,2.8,90,89,1010.4,1015,1639,18.3,0.63
2022,10,2,21,18.2,1.5,140,96,1010.2,1014.9,1124,18.5,0.98
2022,10,2,22,18.6,1.8,110,95,1009.6,1014.2,1145,18.5,0.56
2022,10,2,23,19,1.4,140,89,1009.6,1014.2,1490,18.7,0.74
2022,10,3,0,18.8,1.6,110,92,1009.6,1014.2,1250,18.8,0.98
2022,10,3,1,18.5,1.5,110,96,1009.7,1014.4,1052,18.7,0.53
2022,10,3,2,18.5,1.8,110,100,1009.4,1014.1,289,18.8,0.54
2022,10,3,3,18.6,0.7,90,100,1009.1,1013.7,562,18.9,1.04
2022,10,3,4,19.2,1.6,140,100,1008.5,1013.1,624,19,1.22
2022,10,3,5,19.5,1.8,110,100,1008.9,1013.5,332,19.3,0.54
2022,10,3,6,20.1,0.7,50,100,1009.2,1013.9,207,19.5,0.32
2022,10,3,7,20.3,0.9,90,100,1009.6,1014.2,311,19.8,0.44
2022,10,3,8,21.4,1.7,160,100,1009.8,1014.4,446,20.3,0.31
2022,10,3,9,22.2,1.9,160,100,1009.8,1014.4,438,21.2,0.23
2022,10,3,10,22.6,2.4,180,100,1009.9,1014.5,544,21.6,0.27
2022,10,3,11,23,2,200,100,1009.5,1014.1,374,22,2.55
2022,10,3,12,23.5,1.9,200,100,1008.9,1013.5,1202,22.5,0.97
2022,10,3,13,23.7,2.3,230,98,1008.3,1012.9,1010,22.5,0.35
2022,10,3,14,23.8,1.6,180,97,1007.4,1011.9,1170,22.7,0.97
2022,10,3,15,23.9,2.6,230,97,1007.6,1012.1,1137,22.9,1.36
2022,10,3,16,24.2,2.7,180,92,1006.5,1011,1193,23,0.8
2022,10,3,17,24.4,2.3,200,90,1006.3,1010.8,1274,23,1.31
2022,10,3,18,24.3,2.9,200,90,1006.6,1011.1,1343,22.4,1.31
2022,10,3,19,24.5,2.8,200,89,1006.9,1011.4,1733,22.3,1.22
2022,10,3,20,24.3,3.7,180,90,1006.9,1011.4,1154,22.2,1.42
2022,10,3,21,23.7,4,160,95,1005.1,1009.6,1001,22.2,1.25
2022,10,3,22,24.1,6.1,200,91,1005.3,1009.8,1316,22.2,0.88
2022,10,3,23,23.8,4.8,200,91,1005,1009.5,1669,22.1,0.56
2022,10,4,0,23.7,4.5,200,94,1004.3,1008.8,1526,22.2,0.31
2022,10,4,1,23.4,3.7,250,99,1003.6,1008.1,696,22.2,0.43
2022,10,4,2,22,2.5,250,100,1003.5,1008.1,880,21.8,0.52
2022,10,4,3,21.8,1.9,270,100,1003.7,1008.3,2000,21.6,0.56
2022,10,4,4,21.3,1.9,250,100,1003.7,1008.3,476,21.4,0.54
2022,10,4,5,20.5,2.2,320,97,1003.8,1008.4,2000,20.9,0.41
2022,10,4,6,20.5,3.1,290,96,1004.9,1009.5,2000,20.7,0.39
2022,10,4,7,19.6,3.3,270,97,1006,1010.6,1193,20.4,0.76
2022,10,4,8,18.6,3.1,290,94,1006.6,1011.2,1997,20.2,0.7
2022,10,4,9,18.7,2.2,290,86,1007.5,1012.1,2000,20.8,0.39
2022,10,4,10,18.9,3.9,320,78,1008.1,1012.7,2000,22.8,0.45
2022,10,4,11,19.3,3.7,320,78,1008.2,1012.8,2000,24.2,0.29
2022,10,4,12,21.4,3.3,290,68,1008.3,1012.9,2000,30.1,0.46
2022,10,4,13,21.1,3.4,290,67,1008.3,1012.9,1958,29.1,0.68
2022,10,4,14,21.2,4.2,270,70,1008.2,1012.8,1957,30.3,0.4
2022,10,4,15,19.9,4.6,270,69,1008.6,1013.2,2000,26.2,0.26
2022,10,4,16,20.1,3.4,270,67,1009,1013.6,2000,24.7,0.43
2022,10,4,17,19.1,3.6,270,67,1010,1014.6,2000,22,0.53
2022,10,4,18,18,3,250,71,1010.5,1015.2,2000,19.9,1.09
2022,10,4,19,17.8,2.6,270,70,1011.3,1016,2000,18.9,1.03
2022,10,4,20,17.4,3.5,290,67,1011.9,1016.6,2000,18.1,1.33
2022,10,4,21,16.5,3,290,66,1012.3,1017,2000,17.2,0.95
2022,10,4,22,15.9,3,320,65,1012.7,1017.4,2000,17.1,0.71
2022,10,4,23,15.1,1.9,290,66,1013.2,1018,2000,16.5,0.3
2022,10,5,0,14.5,1.4,320,67,1013.4,1018.2,2000,16.1,0.28
2022,10,5,1,14.4,1.6,320,66,1013.7,1018.5,2000,16.1,0.26
2022,10,5,2,13.9,1.1,250,74,1014.1,1018.9,2000,15.8,0.25
2022,10,5,3,13.7,1.2,250,75,1014.1,1018.9,2000,15.7,0.25
2022,10,5,4,13.1,0.4,0,82,1013.9,1018.7,2000,15.1,0.19
2022,10,5,5,12.6,0.5,290,86,1014.3,1019.1,2000,14.6,0.26
2022,10,5,6,12.9,1,160,82,1015.3,1020.1,2000,13.8,0.23
