YEAR,MONTH,DAY,HOUR,temp_outdoor,temp_ground,humidity,pressure_area,pressure_sea,wind_speed,wind_direction,visual_range,ELEC_diff,HOT_diff,WATER_diff,ELEC_before,HOT_before,WATER_before,ELEC,HOT,WATER
2022,7,18,1,23.7,23,89,997.2,1001.7,0.5,110,1407,-28.77,-0.9983,-2.0849,145.66,1.5763,4.2014,116.89,0.578,2.1165
2022,7,18,2,24,23.1,90,996.7,1001.2,0.7,70,1044,-16.12,-0.359,-0.8476,116.89,0.578,2.1165,100.77,0.219,1.2689
2022,7,18,3,23.9,23.2,91,996.7,1001.2,0.7,180,947,-16.12,-0.359,-0.8476,100.77,0.219,1.2689,96.54,0.3424,1.7092
2022,7,18,4,23.9,22.9,90,996.6,1001.1,0.3,0,810,-4.23,0.1234,0.4403,96.54,0.3424,1.7092,94.41,0.1746,1.3823
2022,7,18,5,23.5,23.1,93,996.6,1001.1,0.6,50,744,-2.13,-0.1678,-0.3269,94.41,0.1746,1.3823,93,1.0904,3.3801
2022,7,18,6,24.1,23.1,87,996.6,1001.1,1.7,110,979,-1.41,0.9158,1.9978,93,1.0904,3.3801,109.27,3.0944,6.9759
2022,7,18,7,24.5,23.6,86,996.6,1001.1,1.9,110,1003,16.27,2.004,3.5958,109.27,3.0944,6.9759,142.42,5.0616,13.6632
2022,7,18,8,25,24.2,84,996.6,1001.1,2,110,1053,33.15,1.9672,6.6873,142.42,5.0616,13.6632,135.24,3.3497,14.0466
2022,7,18,9,26,26.1,81,996,1000.5,1.1,110,1267,-7.18,-1.7119,0.3834,135.24,3.3497,14.0466,128.01,1.5942,9.8583
2022,7,18,10,26.2,27.5,80,995.6,1000.1,3.6,140,1357,-7.23,-1.7555,-4.1883,128.01,1.5942,9.8583,119.46,1.5702,8.4363
2022,7,18,11,26.1,27,75,995.3,999.8,2.6,140,1957,-8.55,-0.024,-1.422,119.46,1.5702,8.4363,128.73,1.1503,6.105
2022,7,18,12,27.3,29.3,69,994.7,999.2,4,110,1977,9.27,-0.4199,-2.3313,128.73,1.1503,6.105,129.52,0.9448,6.6299
2022,7,18,13,26.6,27.1,72,994.9,999.4,3.6,140,2000,0.79,-0.2055,0.5249,129.52,0.9448,6.6299,128.77,0.9665,7.561
2022,7,18,14,25.9,29.2,82,994.6,999.1,3.3,110,1990,-0.75,0.0217,0.9311,128.77,0.9665,7.561,123.54,0.8599,5.8456
2022,7,18,15,27,30.9,74,994.1,998.6,2,90,2000,-5.23,-0.1066,-1.7154,123.54,0.8599,5.8456,131.79,0.7359,5.63
2022,7,18,16,28.3,31.2,68,993.4,997.8,2.8,110,1987,8.25,-0.124,-0.2156,131.79,0.7359,5.63,131.89,0.7333,5.368
2022,7,18,17,28.2,29.6,67,993.4,997.8,2.1,160,2000,0.1,-0.0026,-0.262,131.89,0.7333,5.368,159.17,1.9545,8.1451
2022,7,18,18,28,27.6,69,993.3,997.7,2.7,160,2000,27.28,1.2212,2.7771,159.17,1.9545,8.1451,181.78,2.9843,9.7895
2022,7,18,19,27.6,26.2,70,993.8,998.2,2.5,160,2000,22.61,1.0298,1.6444,181.78,2.9843,9.7895,211.06,3.1385,12.9005
2022,7,18,20,27,24.8,72,994.2,998.7,1.6,160,2000,29.28,0.1542,3.111,211.06,3.1385,12.9005,231.94,4.5451,13.0868
